Unnamed: 0;Drink Type;Drink Type Link;Coffee Name;Coffee Url;Ingredients
0; Hot Coffees ;/menu/drinks/hot-coffees;Caffè Americano;['Water', '3  Shots', 'Signature Espresso Roast'];Ingredients
1; Hot Coffees ;/menu/drinks/hot-coffees;Veranda Blend®;[];Ingredients
2; Hot Coffees ;/menu/drinks/hot-coffees;Caffè Misto;['2% Milk', 'Milk Foam', 'Steamed Hot'];Ingredients
3; Hot Coffees ;/menu/drinks/hot-coffees;Featured Starbucks® Dark Roast Coffee;[];Ingredients
4; Hot Coffees ;/menu/drinks/hot-coffees;Featured Medium Roast - Pike Place® Roast;[];Ingredients
5; Hot Coffees ;/menu/drinks/hot-coffees;Decaf Pike Place® Roast;[];Ingredients
6; Hot Coffees ;/menu/drinks/hot-coffees;Cappuccino;['2% Milk', 'Regular Foam', 'Steamed Hot', '2  Shots', 'Signature Espresso Roast'];Ingredients
7; Hot Coffees ;/menu/drinks/hot-coffees;Espresso;['2  Shots', 'Signature Espresso Roast'];Ingredients
8; Hot Coffees ;/menu/drinks/hot-coffees;Espresso Con Panna;['Whipped Cream', '2  Shots', 'Signature Espresso Roast'];Ingredients
9; Hot Coffees ;/menu/drinks/hot-coffees;Flat White;['Whole Milk', 'Steamed Hot', '2  Shots', 'Signature Espresso Roast', 'Ristretto'];Ingredients
10; Hot Coffees ;/menu/drinks/hot-coffees;Honey Almondmilk Flat White;['Almond', 'Steamed Hot', '2  Shots', 'Ristretto', '3 pump (s) Honey Blend'];Ingredients
11; Hot Coffees ;/menu/drinks/hot-coffees;Pumpkin Spice Latte;['2% Milk', 'Milk Foam', 'Steamed Hot', '4 pump(s) Pumpkin Sauce', 'Pumpkin Spice Topping', 'Whipped Cream', '2  Shots', 'Signature Espresso Roast'];Ingredients
12; Hot Coffees ;/menu/drinks/hot-coffees;Caramel Brulée Latte;['2% Milk', 'Steamed Hot', '4 pump(s) Caramel Brulée Sauce', 'Caramel Brulée Topping', 'Whipped Cream', '2  Shots', 'Signature Espresso Roast'];Ingredients
13; Hot Coffees ;/menu/drinks/hot-coffees;Chestnut Praline Latte;['2% Milk', 'Steamed Hot', '4 pump(s) Chestnut Praline Syrup', 'Chestnut Praline Topping', 'Whipped Cream', '2  Shots', 'Signature Espresso Roast'];Ingredients
14; Hot Coffees ;/menu/drinks/hot-coffees;Sugar Cookie Almondmilk Latte;['Almond', 'Steamed Hot', '4 pump(s) Sugar Cookie Syrup', 'Red and Green Sprinkle Topping', '2  Shots'];Ingredients
15; Hot Coffees ;/menu/drinks/hot-coffees;Caffè Latte;['2% Milk', 'Milk Foam', 'Steamed Hot', '2  Shots', 'Signature Espresso Roast'];Ingredients
